nom_latin,nom_anglais
"Acrocephalus baeticatus","African Reed Warbler"
"Pluvialis dominica","American Golden Plover"
"Setophaga aestiva","American Yellow Warbler"
"Acrocephalus paludicola","Aquatic Warbler"
"Acanthis hornemanni","Arctic Redpoll"
"Phylloscopus borealis","Arctic Warbler"
"Oenanthe seebohmi","Atlas Wheatear"
"Zapornia pusilla","Baillon's Crake"
"Calidris bairdii","Baird's Sandpiper"
"Puffinus mauretanicus","Balearic Shearwater"
"Curruca nisoria","Barred Warbler"
"Setophaga castanea","Bay-breasted Warbler"
"Megaceryle alcyon","Belted Kingfisher"
"Oenanthe leucura","Black Wheatear"
"Mniotilta varia","Black-and-white Warbler"
"Pterocles orientalis","Black-bellied Sandgrouse"
"Emberiza spodocephala","Black-faced Bunting"
"Glareola nordmanni","Black-winged Pratincole"
"Anthus godlewskii","Blyth's Pipit"
"Iduna caligata","Booted Warbler"
"Onychoprion anaethetus","Bridled Tern"
"Calidris falcinellus","Broad-billed Sandpiper"
"Anthus rubescens","Buff-bellied Pipit"
"Calidris subruficollis","Buff-breasted Sandpiper"
"Motacilla citreola","Citrine Wagtail"
"Acanthis flammea","Common Redpoll"
"Curruca communis","Common Whitethroat"
"Calonectris borealis","Cory's Shearwater"
"Curruca undata","Dartford Warbler"
"Grus virgo","Demoiselle Crane"
"Oenanthe deserti","Desert Wheatear"
"Curruca minula","Desert Whitethroat"
"Phylloscopus fuscatus","Dusky Warbler"
"Phylloscopus orientalis","Eastern Bonelli's Warbler"
"Curruca cantillans","Eastern Subalpine Warbler"
"Motacilla tschutschensis","Eastern Yellow Wagtail"
"Falco eleonorae","Eleonora's Falcon"
"Gulosus aristotelis","European Shag"
"Hydrobates pelagicus","European Storm Petrel"
"Leucophaeus pipixcan","Franklin's Gull"
"Ardenna gravis","Great Shearwater"
"Gallinago media","Great Snipe"
"Charadrius leschenaultii","Greater Sand Plover"
"Clanga clanga","Greater Spotted Eagle"
"Phylloscopus trochiloides","Greenish Warbler"
"Tringa brevipes","Grey-tailed Tattler"
"Eremophila alpestris","Horned Lark"
"Phylloscopus humei","Hume's Leaf Warbler"
"Larus glaucoides","Iceland Gull"
"Oenanthe isabellina","Isabelline Wheatear"
"Charadrius vociferus","Killdeer"
"Falco biarmicus","Lanner Falcon"
"Aythya affinis","Lesser Scaup"
"Curruca curruca","Lesser Whitethroat"
"Tringa flavipes","Lesser Yellowlegs"
"Zapornia parva","Little Crake"
"Limnodromus scolopaceus","Long-billed Dowitcher"
"Buteo rufinus","Long-legged Buzzard"
"Stercorarius longicaudus","Long-tailed Jaeger"
"Marmaronetta angustirostris","Marbled Duck"
"Curruca sarda","Marmora's Warbler"
"Alaudala rufescens","Mediterranean Short-toed Lark"
"Curruca subalpina","Moltoni's Warbler"
"Phoenicurus moussieri","Moussier's Redstart"
"Pluvialis fulva","Pacific Golden Plover"
"Acrocephalus agricola","Paddyfield Warbler"
"Phylloscopus proregulus","Pallas's Leaf Warbler"
"Loxia pytyopsittacus","Parrot Crossbill"
"Anthus gustavi","Pechora Pipit"
"Calidris melanotos","Pectoral Sandpiper"
"Oenanthe pleschanka","Pied Wheatear"
"Emberiza leucocephalos","Pine Bunting"
"Microcarbo pygmaeus","Pygmy Cormorant"
"Phylloscopus schwarzi","Radde's Warbler"
"Phalaropus fulicarius","Red Phalarope"
"Ficedula parva","Red-breasted Flycatcher"
"Branta ruficollis","Red-breasted Goose"
"Mergus serrator","Red-breasted Merganser"
"Tarsiger cyanurus","Red-flanked Bluetail"
"Falco vespertinus","Red-footed Falcon"
"Phalaropus lobatus","Red-necked Phalarope"
"Larus delawarensis","Ring-billed Gull"
"Aythya collaris","Ring-necked Duck"
"Locustella fluviatilis","River Warbler"
"Rhodostethia rosea","Ross's Gull"
"Emberiza rustica","Rustic Bunting"
"Curruca ruppeli","Rüppell's Warbler"
"Xema sabini","Sabine's Gull"
"Curruca melanocephala","Sardinian Warbler"
"Calidris pusilla","Semipalmated Sandpiper"
"Circaetus gallicus","Short-toed Snake Eagle"
"Mergellus albellus","Smew"
"Bubo scandiacus","Snowy Owl"
"Vanellus gregarius","Sociable Lapwing"
"Ardenna grisea","Sooty Shearwater"
"Onychoprion fuscatus","Sooty Tern"
"Curruca conspicillata","Spectacled Warbler"
"Anser fabalis","Taiga Bean Goose"
"Xenus cinereus","Terek Sandpiper"
"Anser serrirostris","Tundra Bean Goose"
"Linaria flavirostris","Twite"
"Bartramia longicauda","Upland Sandpiper"
"Iduna opaca","Western Olivaceous Warbler"
"Curruca hortensis","Western Orphean Warbler"
"Curruca iberiae","Western Subalpine Warbler"
"Motacilla flava","Western Yellow Wagtail"
"Calidris fuscicollis","White-rumped Sandpiper"
"Haliaeetus albicilla","White-tailed Eagle"
